missing_pattern,missing_rate,avg_embedding_similarity,embedding_similarity_std,mean_rank,hr_10,no_hit,total_trajectories
random,0.0,0.9975953698158264,0.002293829107657075,1.7328,0.981,0,10000
random,0.1,0.9938062429428101,0.003755830228328705,1.9212,0.9757,0,10000
random,0.2,0.9883984327316284,0.007052543107420206,2.2,0.9665,0,10000
random,0.3,0.9819628596305847,0.011349870823323727,2.6877,0.9504,0,10000
random,0.4,0.9726150035858154,0.017519231885671616,3.436,0.9286,0,10000
random,0.5,0.9591286182403564,0.026781905442476273,4.8743,0.8846,0,10000
random,0.6,0.9443983435630798,0.03558987379074097,6.6704,0.8348,0,10000
random,0.7,0.9198033213615417,0.04929857701063156,10.6609,0.7448489697939588,2,10000
random,0.8,0.8820622563362122,0.06558198481798172,19.4552,0.6075607560756076,1,10000
consecutive,0.0,0.9975255727767944,0.0023628000635653734,1.8017,0.9797,0,10000
consecutive,0.1,0.9934584498405457,0.0039717406034469604,1.877,0.9773,0,10000
consecutive,0.2,0.977668046951294,0.010346095077693462,3.0207,0.9429,0,10000
consecutive,0.3,0.9506349563598633,0.021585388109087944,6.3945,0.8377,0,10000
consecutive,0.4,0.9103744626045227,0.03565530106425285,13.43,0.6749,0,10000
consecutive,0.5,0.8601517081260681,0.05210424214601517,25.6955,0.4859,0,10000
consecutive,0.6,0.8205865025520325,0.06716693192720413,38.8195,0.3751750350070014,2,10000
consecutive,0.7,0.7742229104042053,0.08719977736473083,63.0361,0.2846254136997292,29,10000
consecutive,0.8,0.7294855713844299,0.10993195325136185,91.5621,0.20477157360406092,150,10000
head,0.0,0.9975491166114807,0.0023699018638581038,1.7684,0.9804,0,10000
head,0.1,0.9931413531303406,0.003338744631037116,1.903,0.9748,0,10000
head,0.2,0.9759030938148499,0.008500774390995502,3.3572,0.9351,0,10000
head,0.3,0.9480485320091248,0.016165195032954216,6.9522,0.8169,0,10000
head,0.4,0.909350574016571,0.02805354818701744,14.7233,0.6156,0,10000
head,0.5,0.8607288599014282,0.04095476120710373,27.1872,0.3744,0,10000
head,0.6,0.8224085569381714,0.05193464830517769,40.4109,0.2486,0,10000
head,0.7,0.7864545583724976,0.061765462160110474,57.6473,0.1708,0,10000
head,0.8,0.7585360407829285,0.07018528133630753,77.6102,0.13828296978186913,6,10000
tail,0.0,0.997359573841095,0.002476189285516739,1.8106,0.979,0,10000
tail,0.1,0.9893134236335754,0.005484462715685368,2.5739,0.9588,0,10000
tail,0.2,0.966575562953949,0.01197636965662241,6.1917,0.836,0,10000
tail,0.3,0.9322372078895569,0.021358417347073555,13.4748,0.6276,0,10000
tail,0.4,0.8830133676528931,0.03397136181592941,26.4753,0.3808,0,10000
tail,0.5,0.8152334690093994,0.04845502972602844,49.8632,0.1851,0,10000
tail,0.6,0.7533619999885559,0.06359326839447021,81.589,0.10774006208070491,13,10000
tail,0.7,0.6798275113105774,0.0793825089931488,135.5513,0.06382763503944973,114,10000
tail,0.8,0.6021135449409485,0.096041738986969,194.9379,0.04911424631377957,573,10000
middle,0.0,0.9974462389945984,0.0025691716000437737,1.7561,0.9812,0,10000
middle,0.1,0.9945740103721619,0.0032775294966995716,1.8039,0.98,0,10000
middle,0.2,0.9826390147209167,0.008153055794537067,2.0417,0.9739,0,10000
middle,0.3,0.9601038098335266,0.018325595185160637,2.7075,0.9552,0,10000
middle,0.4,0.9278174638748169,0.028860459104180336,3.793,0.9196,0,10000
middle,0.5,0.8893940448760986,0.03707454726099968,5.7565,0.8552,0,10000
middle,0.6,0.8691449761390686,0.048142172396183014,7.9274,0.7909,0,10000
middle,0.7,0.8409437537193298,0.052602410316467285,13.4783,0.6742,0,10000
middle,0.8,0.8141945600509644,0.06266619265079498,30.4143,0.441,0,10000
